BatchSize,HiddenNodes,WeightNonbinding,WeightBinding,LearningRate,Epochs,Momentum,BestCutoff,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,MCC
500,20,0.1,0.1,0.001,380,0.8,0.18,507,1864,14588,942,0.19037135987753154
500,20,0.1,0.1,0.001,380,0.9,0.22,303,673,15779,1146,0.20206339536289936
500,20,0.1,0.1,0.0005,20,0.1,0.24,1448,16357,95,1,0.018987300374471
500,20,0.1,0.1,0.0005,20,0.2,0.33,1220,12540,3912,229,0.05157891145755573
500,20,0.1,0.1,0.0005,20,0.3,0.51,4,35,16417,1445,0.0037036904597850333
500,20,0.1,0.1,0.0005,20,0.4,0.18,1339,14938,1514,110,0.015299672162651247
500,20,0.1,0.1,0.0005,20,0.5,0.19,1443,16351,101,6,0.007070859020411516
500,20,0.1,0.1,0.0005,20,0.6,0.18,1448,16439,13,1,0.0009761399086311829
500,20,0.1,0.1,0.0005,20,0.7,0.17,1336,14035,2417,113,0.05396649297631636
500,20,0.1,0.1,0.0005,20,0.8,0.14,958,9940,6512,491,0.031836600680645775
500,20,0.1,0.1,0.0005,20,0.9,0.17,344,1634,14818,1105,0.12013435169642964
500,20,0.1,0.1,0.0005,80,0.1,0.14,1372,14879,1573,77,0.04004588447172018
500,20,0.1,0.1,0.0005,80,0.2,0.11,1449,16439,13,0,0.008000472290267307
500,20,0.1,0.1,0.0005,80,0.3,0.11,1351,14867,1585,98,0.02682909849191111
500,20,0.1,0.1,0.0005,80,0.4,0.16,566,4085,12367,883,0.08851494063868273
500,20,0.1,0.1,0.0005,80,0.5,0.17,339,2151,14301,1110,0.08134899843576587
500,20,0.1,0.1,0.0005,80,0.6,0.24,55,376,16076,1394,0.026873070861221347
500,20,0.1,0.1,0.0005,80,0.7,0.14,527,2993,13459,922,0.12474238672418216
500,20,0.1,0.1,0.0005,80,0.8,0.14,563,2584,13868,886,0.16586522982070878
500,20,0.1,0.1,0.0005,80,0.9,0.18,429,1264,15188,1020,0.20434479606948003
500,20,0.1,0.1,0.0005,140,0.1,0.15,559,5414,11038,890,0.032800694814633574
500,20,0.1,0.1,0.0005,140,0.2,0.13,1068,11442,5010,381,0.02472228472292638
500,20,0.1,0.1,0.0005,140,0.3,0.12,839,7517,8935,610,0.06676143348367294
500,20,0.1,0.1,0.0005,140,0.4,0.17,403,2136,14316,1046,0.1159316312354388
500,20,0.1,0.1,0.0005,140,0.5,0.15,572,2646,13806,877,0.16615635839373114
500,20,0.1,0.1,0.0005,140,0.6,0.13,617,3004,13448,832,0.16514403562895733
500,20,0.1,0.1,0.0005,140,0.7,0.15,516,1857,14595,933,0.1956414708651359
500,20,0.1,0.1,0.0005,140,0.8,0.15,548,2050,14402,901,0.1963643176186287
500,20,0.1,0.1,0.0005,140,0.9,0.15,575,2307,14145,874,0.19042829866179214
500,20,0.1,0.1,0.0005,200,0.1,0.13,631,5806,10646,818,0.046929062416797125
500,20,0.1,0.1,0.0005,200,0.2,0.1,1182,11187,5265,267,0.08013033968628105
500,20,0.1,0.1,0.0005,200,0.3,0.16,431,1955,14497,1018,0.14333516088358322
500,20,0.1,0.1,0.0005,200,0.4,0.16,455,1646,14806,994,0.18131622338107364
500,20,0.1,0.1,0.0005,200,0.5,0.15,521,2104,14348,928,0.1786265374256708
500,20,0.1,0.1,0.0005,200,0.6,0.11,794,4191,12261,655,0.178420621527023
500,20,0.1,0.1,0.0005,200,0.7,0.15,525,2004,14448,924,0.1883375749501044
500,20,0.1,0.1,0.0005,200,0.8,0.16,482,1731,14721,967,0.18845733129465658
500,20,0.1,0.1,0.0005,200,0.9,0.14,656,2776,13676,793,0.19676954109891104
500,20,0.1,0.1,0.0005,260,0.1,0.13,664,4599,11853,785,0.10698631760994486
500,20,0.1,0.1,0.0005,260,0.2,0.15,571,2809,13643,878,0.1556416177547792
500,20,0.1,0.1,0.0005,260,0.3,0.15,556,2298,14154,893,0.1818199987570135
500,20,0.1,0.1,0.0005,260,0.4,0.14,515,2256,14196,934,0.16460473774654238
500,20,0.1,0.1,0.0005,260,0.5,0.14,575,2270,14182,874,0.19310469807527023
500,20,0.1,0.1,0.0005,260,0.6,0.17,472,1606,14846,977,0.19424436986417634
500,20,0.1,0.1,0.0005,260,0.7,0.2,297,725,15727,1152,0.1891491683574491
500,20,0.1,0.1,0.0005,260,0.8,0.22,268,548,15904,1181,0.1982998012407773
500,20,0.1,0.1,0.0005,260,0.9,0.16,562,2088,14364,887,0.20040589466389622
500,20,0.1,0.1,0.0005,320,0.1,0.2,316,845,15607,1133,0.18464482686522224
500,20,0.1,0.1,0.0005,320,0.2,0.13,673,3217,13235,776,0.17785120473057084
500,20,0.1,0.1,0.0005,320,0.3,0.13,594,2733,13719,855,0.17095979999306854
500,20,0.1,0.1,0.0005,320,0.4,0.13,676,3151,13301,773,0.18295363167214201
500,20,0.1,0.1,0.0005,320,0.5,0.15,527,2030,14422,922,0.1873184067556297
500,20,0.1,0.1,0.0005,320,0.6,0.16,528,2095,14357,921,0.18283083505853934
500,20,0.1,0.1,0.0005,320,0.7,0.15,516,1921,14531,933,0.1903605422535611
500,20,0.1,0.1,0.0005,320,0.8,0.23,271,519,15933,1178,0.20647365717790195
500,20,0.1,0.1,0.0005,320,0.9,0.22,298,654,15798,1151,0.20165914478310318
500,20,0.1,0.1,0.0005,380,0.1,0.17,424,1445,15007,1025,0.18265928884750043
500,20,0.1,0.1,0.0005,380,0.2,0.13,656,2981,13471,793,0.18406560102274624
500,20,0.1,0.1,0.0005,380,0.3,0.11,797,4206,12246,652,0.1789278370213245
500,20,0.1,0.1,0.0005,380,0.4,0.15,532,2131,14321,917,0.18212920298330157
500,20,0.1,0.1,0.0005,380,0.5,0.14,656,2911,13541,793,0.18831380049517984
500,20,0.1,0.1,0.0005,380,0.6,0.18,434,1393,15059,1015,0.19357098958878446
500,20,0.1,0.1,0.0005,380,0.7,0.19,397,1096,15356,1052,0.2045592917287478
500,20,0.1,0.1,0.0005,380,0.8,0.15,595,2292,14160,854,0.2012072335394222
500,20,0.1,0.1,0.0005,380,0.9,0.16,520,1795,14657,929,0.20301524591628256
500,20,0.1,0.1,0.0001,20,0.1,0.46,600,4571,11881,849,0.08198739197830607
500,20,0.1,0.1,0.0001,20,0.2,0.59,1,0,16452,1448,0.025185387786124554
500,20,0.1,0.1,0.0001,20,0.3,0.55,712,6520,9932,737,0.052843456972704456
500,20,0.1,0.1,0.0001,20,0.4,0.27,1443,16370,82,6,0.0032890635515591474
500,20,0.1,0.1,0.0001,20,0.5,0.31,1449,16449,3,0,0.003842228754048004
500,20,0.1,0.1,0.0001,20,0.6,0.39,1118,11668,4784,331,0.037644640420144655
500,20,0.1,0.1,0.0001,20,0.7,0.63,1,9,16443,1448,0.0016516608262341975
500,20,0.1,0.1,0.0001,20,0.8,0.32,1290,14283,2169,159,0.01792669193345413
500,20,0.1,0.1,0.0001,20,0.9,0.23,1394,15482,970,55,0.02465535926215457
500,20,0.1,0.1,0.0001,80,0.1,0.28,1445,16344,108,4,0.013158377637142298
500,20,0.1,0.1,0.0001,80,0.2,0.33,1421,15942,510,28,0.01865173332156413
500,20,0.1,0.1,0.0001,80,0.3,0.31,1066,11362,5090,383,0.026678798116489433
500,20,0.1,0.1,0.0001,80,0.4,0.23,1400,15497,955,49,0.028724158902579507
500,20,0.1,0.1,0.0001,80,0.5,0.23,1448,16427,25,1,0.00594044971482735
500,20,0.1,0.1,0.0001,80,0.6,0.18,1046,10734,5718,403,0.03992362074997576
500,20,0.1,0.1,0.0001,80,0.7,0.45,1,3,16449,1448,0.009266188610939013
500,20,0.1,0.1,0.0001,80,0.8,0.13,1441,16334,118,8,0.005387504770516157
500,20,0.1,0.1,0.0001,80,0.9,0.15,459,2895,13557,990,0.09842138688987775
500,20,0.1,0.1,0.0001,140,0.1,0.29,1357,14877,1575,92,0.030260157267466444
